CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
1,Male,19,15,39,4,Active Value Customers
2,Male,21,15,81,2,Regular Customers
3,Female,20,16,6,4,Active Value Customers
4,Female,23,16,77,2,Regular Customers
5,Female,31,17,40,4,Active Value Customers
6,Female,22,17,76,2,Regular Customers
7,Female,35,18,6,4,Active Value Customers
8,Female,23,18,94,2,Regular Customers
9,Male,64,19,3,4,Active Value Customers
10,Female,30,19,72,2,Regular Customers
11,Male,67,19,14,4,Active Value Customers
12,Female,35,19,99,2,Regular Customers
13,Female,58,20,15,4,Active Value Customers
14,Female,24,20,77,2,Regular Customers
15,Male,37,20,13,4,Active Value Customers
16,Male,22,20,79,2,Regular Customers
17,Female,35,21,35,4,Active Value Customers
18,Male,20,21,66,2,Regular Customers
19,Male,52,23,29,4,Active Value Customers
20,Female,35,23,98,2,Regular Customers
21,Male,35,24,35,4,Active Value Customers
22,Male,25,24,73,2,Regular Customers
23,Female,46,25,5,4,Active Value Customers
24,Male,31,25,73,2,Regular Customers
25,Female,54,28,14,4,Active Value Customers
26,Male,29,28,82,2,Regular Customers
27,Female,45,28,32,4,Active Value Customers
28,Male,35,28,61,2,Regular Customers
29,Female,40,29,31,4,Active Value Customers
30,Female,23,29,87,2,Regular Customers
31,Male,60,30,4,4,Active Value Customers
32,Female,21,30,73,2,Regular Customers
33,Male,53,33,4,4,Active Value Customers
34,Male,18,33,92,2,Regular Customers
35,Female,49,33,14,4,Active Value Customers
36,Female,21,33,81,2,Regular Customers
37,Female,42,34,17,4,Active Value Customers
38,Female,30,34,73,2,Regular Customers
39,Female,36,37,26,4,Active Value Customers
40,Female,20,37,75,2,Regular Customers
41,Female,65,38,35,4,Active Value Customers
42,Male,24,38,92,2,Regular Customers
43,Male,48,39,36,4,Active Value Customers
44,Female,31,39,61,0,Premium Customers
45,Female,49,39,28,4,Active Value Customers
46,Female,24,39,65,2,Regular Customers
47,Female,50,40,55,0,Premium Customers
48,Female,27,40,47,0,Premium Customers
49,Female,29,40,42,0,Premium Customers
50,Female,31,40,42,0,Premium Customers
51,Female,49,42,52,0,Premium Customers
52,Male,33,42,60,0,Premium Customers
53,Female,31,43,54,0,Premium Customers
54,Male,59,43,60,0,Premium Customers
55,Female,50,43,45,0,Premium Customers
56,Male,47,43,41,0,Premium Customers
57,Female,51,44,50,0,Premium Customers
58,Male,69,44,46,0,Premium Customers
59,Female,27,46,51,0,Premium Customers
60,Male,53,46,46,0,Premium Customers
61,Male,70,46,56,0,Premium Customers
62,Male,19,46,55,0,Premium Customers
63,Female,67,47,52,0,Premium Customers
64,Female,54,47,59,0,Premium Customers
65,Male,63,48,51,0,Premium Customers
66,Male,18,48,59,0,Premium Customers
67,Female,43,48,50,0,Premium Customers
68,Female,68,48,48,0,Premium Customers
69,Male,19,48,59,0,Premium Customers
70,Female,32,48,47,0,Premium Customers
71,Male,70,49,55,0,Premium Customers
72,Female,47,49,42,0,Premium Customers
73,Female,60,50,49,0,Premium Customers
74,Female,60,50,56,0,Premium Customers
75,Male,59,54,47,0,Premium Customers
76,Male,26,54,54,0,Premium Customers
77,Female,45,54,53,0,Premium Customers
78,Male,40,54,48,0,Premium Customers
79,Female,23,54,52,0,Premium Customers
80,Female,49,54,42,0,Premium Customers
81,Male,57,54,51,0,Premium Customers
82,Male,38,54,55,0,Premium Customers
83,Male,67,54,41,0,Premium Customers
84,Female,46,54,44,0,Premium Customers
85,Female,21,54,57,0,Premium Customers
86,Male,48,54,46,0,Premium Customers
87,Female,55,57,58,0,Premium Customers
88,Female,22,57,55,0,Premium Customers
89,Female,34,58,60,0,Premium Customers
90,Female,50,58,46,0,Premium Customers
91,Female,68,59,55,0,Premium Customers
92,Male,18,59,41,0,Premium Customers
93,Male,48,60,49,0,Premium Customers
94,Female,40,60,40,0,Premium Customers
95,Female,32,60,42,0,Premium Customers
96,Male,24,60,52,0,Premium Customers
97,Female,47,60,47,0,Premium Customers
98,Female,27,60,50,0,Premium Customers
99,Male,48,61,42,0,Premium Customers
100,Male,20,61,49,0,Premium Customers
101,Female,23,62,41,0,Premium Customers
102,Female,49,62,48,0,Premium Customers
103,Male,67,62,59,0,Premium Customers
104,Male,26,62,55,0,Premium Customers
105,Male,49,62,56,0,Premium Customers
106,Female,21,62,42,0,Premium Customers
107,Female,66,63,50,0,Premium Customers
108,Male,54,63,46,0,Premium Customers
109,Male,68,63,43,0,Premium Customers
110,Male,66,63,48,0,Premium Customers
111,Male,65,63,52,0,Premium Customers
112,Female,19,63,54,0,Premium Customers
113,Female,38,64,42,0,Premium Customers
114,Male,19,64,46,0,Premium Customers
115,Female,18,65,48,0,Premium Customers
116,Female,19,65,50,0,Premium Customers
117,Female,63,65,43,0,Premium Customers
118,Female,49,65,59,0,Premium Customers
119,Female,51,67,43,0,Premium Customers
120,Female,50,67,57,0,Premium Customers
121,Male,27,67,56,0,Premium Customers
122,Female,38,67,40,0,Premium Customers
123,Female,40,69,58,0,Premium Customers
124,Male,39,69,91,1,Potential Customers
125,Female,23,70,29,3,Low Engagement Customers
126,Female,31,70,77,1,Potential Customers
127,Male,43,71,35,0,Premium Customers
128,Male,40,71,95,1,Potential Customers
129,Male,59,71,11,3,Low Engagement Customers
130,Male,38,71,75,1,Potential Customers
131,Male,47,71,9,3,Low Engagement Customers
132,Male,39,71,75,1,Potential Customers
133,Female,25,72,34,0,Premium Customers
134,Female,31,72,71,1,Potential Customers
135,Male,20,73,5,3,Low Engagement Customers
136,Female,29,73,88,1,Potential Customers
137,Female,44,73,7,3,Low Engagement Customers
138,Male,32,73,73,1,Potential Customers
139,Male,19,74,10,3,Low Engagement Customers
140,Female,35,74,72,1,Potential Customers
141,Female,57,75,5,3,Low Engagement Customers
142,Male,32,75,93,1,Potential Customers
143,Female,28,76,40,0,Premium Customers
144,Female,32,76,87,1,Potential Customers
145,Male,25,77,12,3,Low Engagement Customers
146,Male,28,77,97,1,Potential Customers
147,Male,48,77,36,3,Low Engagement Customers
148,Female,32,77,74,1,Potential Customers
149,Female,34,78,22,3,Low Engagement Customers
150,Male,34,78,90,1,Potential Customers
151,Male,43,78,17,3,Low Engagement Customers
152,Male,39,78,88,1,Potential Customers
153,Female,44,78,20,3,Low Engagement Customers
154,Female,38,78,76,1,Potential Customers
155,Female,47,78,16,3,Low Engagement Customers
156,Female,27,78,89,1,Potential Customers
157,Male,37,78,1,3,Low Engagement Customers
158,Female,30,78,78,1,Potential Customers
159,Male,34,78,1,3,Low Engagement Customers
160,Female,30,78,73,1,Potential Customers
161,Female,56,79,35,3,Low Engagement Customers
162,Female,29,79,83,1,Potential Customers
163,Male,19,81,5,3,Low Engagement Customers
164,Female,31,81,93,1,Potential Customers
165,Male,50,85,26,3,Low Engagement Customers
166,Female,36,85,75,1,Potential Customers
167,Male,42,86,20,3,Low Engagement Customers
168,Female,33,86,95,1,Potential Customers
169,Female,36,87,27,3,Low Engagement Customers
170,Male,32,87,63,1,Potential Customers
171,Male,40,87,13,3,Low Engagement Customers
172,Male,28,87,75,1,Potential Customers
173,Male,36,87,10,3,Low Engagement Customers
174,Male,36,87,92,1,Potential Customers
175,Female,52,88,13,3,Low Engagement Customers
176,Female,30,88,86,1,Potential Customers
177,Male,58,88,15,3,Low Engagement Customers
178,Male,27,88,69,1,Potential Customers
179,Male,59,93,14,3,Low Engagement Customers
180,Male,35,93,90,1,Potential Customers
181,Female,37,97,32,3,Low Engagement Customers
182,Female,32,97,86,1,Potential Customers
183,Male,46,98,15,3,Low Engagement Customers
184,Female,29,98,88,1,Potential Customers
185,Female,41,99,39,3,Low Engagement Customers
186,Male,30,99,97,1,Potential Customers
187,Female,54,101,24,3,Low Engagement Customers
188,Male,28,101,68,1,Potential Customers
189,Female,41,103,17,3,Low Engagement Customers
190,Female,36,103,85,1,Potential Customers
191,Female,34,103,23,3,Low Engagement Customers
192,Female,32,103,69,1,Potential Customers
193,Male,33,113,8,3,Low Engagement Customers
194,Female,38,113,91,1,Potential Customers
195,Female,47,120,16,3,Low Engagement Customers
196,Female,35,120,79,1,Potential Customers
197,Female,45,126,28,3,Low Engagement Customers
198,Male,32,126,74,1,Potential Customers
199,Male,32,137,18,3,Low Engagement Customers
200,Male,30,137,83,1,Potential Customers
